Time Stamp (ms),qw,qx,qy,qz
22484,0.630005,0.119934,-0.334412,0.690552
22618,0.625549,0.105896,-0.0853882,0.768188
22661,0.647766,0.0423584,-0.121582,0.750854
22688,0.616455,0.00817871,-0.164185,0.77002
22737,0.627319,0.0250244,-0.103088,0.771545
22786,0.642761,0.0454102,-0.154053,0.749084
22840,0.675781,0.0396729,-0.205383,0.706787
22887,0.71344,0.043457,-0.258667,0.64978
22938,0.711548,0.0371704,-0.310486,0.62915
22987,0.702026,0.00823975,-0.347778,0.621399
23041,0.677551,-0.0067749,-0.267151,0.685181
23091,0.650024,0.0129395,-0.128296,0.748901
23141,0.674988,0.00299072,-0.050354,0.736084
23191,0.651733,0.0153809,-0.0648193,0.755493
23241,0.647461,0.0170898,-0.153198,0.746338
23291,0.622437,0.0584106,-0.26355,0.734619
23343,0.540894,0.0812378,-0.40448,0.732971
23394,0.542603,0.0914307,-0.432922,0.713989
23445,0.526245,0.133545,-0.4505,0.70874
23496,0.575989,0.240723,-0.446228,0.641235
23544,0.66095,0.310974,-0.380188,0.567322
23594,0.683289,0.313538,-0.301086,0.58667
23644,0.66333,0.374939,-0.230469,0.605286
23695,0.659485,0.418457,-0.0943604,0.61731
23747,0.684509,0.414551,-0.0288696,0.598938
23797,0.71405,0.411011,-0.0618286,0.563354
23847,0.7146,0.363403,-0.116577,0.586304
23899,0.736267,0.339294,-0.126526,0.571655
23947,0.734375,0.307678,-0.15625,0.584473
24000,0.753845,0.275269,-0.185791,0.566956
24049,0.737305,0.261292,-0.221375,0.582336
24102,0.714844,0.264954,-0.179626,0.621704
24153,0.691406,0.271118,-0.121216,0.658569
24202,0.573242,0.187988,-0.0945435,0.791931
24254,0.552612,0.11853,-0.11969,0.816223
24303,0.60083,0.0874634,-0.0941162,0.789001
24353,0.57196,0.09198,-0.106079,0.808167
24404,0.576782,0.0864868,-0.120789,0.803284
24456,0.585144,0.0907593,-0.144653,0.792725
24507,0.600891,0.111877,-0.124023,0.781677
24557,0.618286,0.116028,-0.0858154,0.772583
24608,0.617249,0.119873,-0.113647,0.769226
24657,0.725647,0.158508,-0.170776,0.6474
24708,0.738892,0.183289,-0.11377,0.638306
24758,0.713684,0.242493,-0.101013,0.649353
24812,0.693604,0.281189,-0.121277,0.651978
24862,0.712585,0.285034,-0.0704956,0.637146
24912,0.721313,0.260559,-0.0516357,0.639648
24965,0.718262,0.225891,-0.108337,0.649109
25012,0.702209,0.217041,-0.1828,0.652954
25061,0.711182,0.216003,-0.227234,0.629211
25113,0.738037,0.206238,-0.28656,0.575012
25163,0.69104,0.199097,-0.417603,0.555359
25213,0.650391,0.157043,-0.504883,0.545349
25265,0.623535,0.142517,-0.606445,0.472351
25316,0.62207,0.0983276,-0.648926,0.42688
25368,0.645508,0.062561,-0.652283,0.392273
25415,0.666992,0.0465088,-0.624023,0.404419
25466,0.657898,0.072998,-0.596619,0.453735
25518,0.626282,0.0853271,-0.634521,0.444824
25570,0.595276,0.0684814,-0.672058,0.43512
25620,0.588684,0.0598755,-0.691711,0.414001
25671,0.603882,0.0693359,-0.692078,0.389343
25721,0.607483,0.0944214,-0.685608,0.389893
25771,0.605408,0.136963,-0.667725,0.41095
25821,0.589661,0.17572,-0.715576,0.33075
25873,0.57959,0.196289,-0.73053,0.303101
25923,0.578369,0.210449,-0.735352,0.28363
25975,0.569092,0.211243,-0.738098,0.294373
26025,0.548401,0.202637,-0.751221,0.306396
26075,0.501099,0.166016,-0.78479,0.324768
26125,0.460938,0.154175,-0.811096,0.325317
26175,0.464111,0.119385,-0.785034,0.392517
26226,0.480164,0.0473633,-0.687805,0.542297
26278,0.480103,-0.0310059,-0.55249,0.680664
26330,0.521362,-0.0982056,-0.390869,0.752197
26381,0.494202,-0.178955,-0.181396,0.831177
26429,0.469543,-0.184265,-0.0617676,0.861267
26478,0.439087,-0.198059,-0.052002,0.874817
26528,0.398193,-0.21698,-0.144531,0.879456
26579,0.370911,-0.235779,-0.150757,0.885498
26632,0.395813,-0.254761,-0.129272,0.872803
26681,0.419617,-0.247192,-0.13678,0.86261
26731,0.424744,-0.260498,-0.163452,0.851501
26783,0.410461,-0.247864,-0.196045,0.855408
26832,0.395142,-0.256958,-0.201111,0.858704
26883,0.384766,-0.25061,-0.227661,0.858643
26933,0.358765,-0.262817,-0.228577,0.866028
26988,0.316406,-0.285889,-0.208862,0.880066
27039,0.300659,-0.295959,-0.205261,0.883118
27089,0.278137,-0.301331,-0.225098,0.88385
27139,0.211975,-0.343872,-0.214294,0.889343
27189,0.0982666,-0.439758,-0.131287,0.882996
27239,0.0535278,-0.544373,-0.135742,0.82605
27290,-0.0724487,-0.647705,-0.149048,0.743652
27342,-0.179016,-0.656677,-0.204224,0.703613
27393,-0.203918,-0.650269,-0.210144,0.700989
27444,-0.228943,-0.62854,-0.164795,0.724854
27494,-0.251587,-0.625244,-0.15741,0.721802
27543,-0.272583,-0.566895,-0.185547,0.754944
27594,-0.290039,-0.555786,-0.172363,0.759766
27644,-0.256165,-0.567078,-0.157593,0.766785
27696,-0.287903,-0.560791,-0.146484,0.762329
27748,-0.319336,-0.589233,-0.13446,0.729919
27798,-0.367065,-0.719116,-0.0202026,0.589661
27848,-0.33075,-0.798401,-0.00457764,0.503113
27899,-0.313477,-0.829407,-0.062561,0.45813
27948,-0.328003,-0.802246,-0.113831,0.485657
27998,-0.305054,-0.821594,-0.118591,0.466736
28047,-0.447876,-0.724609,-0.114685,0.511047
